ville,code_commune,departement,region,annee,score_sportif,score_economique
Mont-de-Marsan,40192,Landes,Aquitaine,2 014,"0,186","0,500"
Pontault-combault,77373,Seine-et-Marne,Île-de-France,2 013,"0,186","0,496"
Tremblay-en-france,93073,Seine-Saint-Denis,Île-de-France,2 022,"0,186","0,003"
Colomiers,31149,Haute-Garonne,Midi-Pyrénées,2 023,"0,186","0,002"
Orléans,45234,Loiret,Centre,2 015,"0,185","0,533"
Valenciennes,59606,Nord,Nord-Pas-de-Calais,2 016,"0,185","0,553"
Le Havre,76351,Seine-Maritime,Haute-Normandie,2 012,"0,185","0,543"
Châteauroux,36044,Indre,Centre,2 019,"0,184","0,546"
Rouen,76540,Seine-Maritime,Haute-Normandie,2 022,"0,183","0,011"
Pau,64445,Pyrénées-Atlantiques,Aquitaine,2 020,"0,183","0,549"
Niort,79191,Deux-Sèvres,Poitou-Charentes,2 019,"0,182","0,548"
Oyonnax,01283,Ain,Rhône-Alpes,2 015,"0,181","0,533"
Limoges,87085,Haute-Vienne,Limousin,2 012,"0,180","0,505"
Le Havre,76351,Seine-Maritime,Haute-Normandie,2 022,"0,179","0,010"
Chartres,28085,Eure-et-Loir,Centre,2 020,"0,179","0,533"
Chartres,28085,Eure-et-Loir,Centre,2 022,"0,179","0,003"
Angers,49007,Maine-et-Loire,Pays de la Loire,2 014,"0,178","0,555"
Saint-Gervais-les-Bains,74236,Haute-Savoie,Rhône-Alpes,2 018,"0,178","0,438"
Courchevel,73227,Savoie,Rhône-Alpes,2 017,"0,178","0,395"
Neuilly-sur-Marne,93050,Seine-Saint-Denis,Île-de-France,2 023,"0,178","0,004"
Le Mans,72181,Sarthe,Pays de la Loire,2 018,"0,176","0,571"
Saint-Ouen,93070,Seine-Saint-Denis,Île-de-France,2 017,"0,175","0,535"
Nanterre,92050,Hauts-de-Seine,Île-de-France,2 022,"0,175","0,011"
Orléans,45234,Loiret,Centre,2 020,"0,173","0,542"
Roanne,42187,Loire,Rhône-Alpes,2 015,"0,171","0,553"
Evreux,27229,Eure,Haute-Normandie,2 017,"0,171","0,547"
Evreux,27229,Eure,Haute-Normandie,2 012,"0,171","0,543"
Gries,67169,Bas-Rhin,Alsace,2 021,"0,171","0,530"
Poitiers,86194,Vienne,Poitou-Charentes,2 016,"0,171","0,514"
Aix-les-bains,73008,Savoie,Rhône-Alpes,2 014,"0,171","0,513"
Gries,67169,Bas-Rhin,Alsace,2 019,"0,171","0,508"
Souffelweyersheim,67471,Bas-Rhin,Alsace,2 020,"0,171","0,495"
Vichy,03310,Allier,Auvergne,2 023,"0,171","0,002"
Vichy,03310,Allier,Auvergne,2 022,"0,171","0,002"
Le Mans,72181,Sarthe,Pays de la Loire,2 015,"0,171","0,566"
Rouen,76540,Seine-Maritime,Haute-Normandie,2 021,"0,170","0,546"
Chartres,28085,Eure-et-Loir,Centre,2 021,"0,170","0,532"
Valenciennes,59606,Nord,Nord-Pas-de-Calais,2 019,"0,168","0,564"
Valenciennes,59606,Nord,Nord-Pas-de-Calais,2 021,"0,168","0,571"
Valenciennes,59606,Nord,Nord-Pas-de-Calais,2 018,"0,166","0,560"
Biarritz,64122,Pyrénées-Atlantiques,Aquitaine,2 016,"0,165","0,565"
Narbonne,11262,Aude,Languedoc-Roussillon,2 013,"0,165","0,551"
Carcassonne,11069,Aude,Languedoc-Roussillon,2 021,"0,165","0,547"
Vannes,56260,Morbihan,Bretagne,2 020,"0,165","0,544"
Colomiers,31149,Haute-Garonne,Midi-Pyrénées,2 015,"0,165","0,527"
