region,annee,score_sportif,score_economique
Pays de la Loire,2 017,"0,263","0,2254"
Pays de la Loire,2 018,"0,301","0,2565"
Pays de la Loire,2 019,"0,259","0,2680"
Pays de la Loire,2 020,"0,348","0,2613"
Pays de la Loire,2 021,"0,288","0,2726"
Pays de la Loire,2 022,"0,326","0,2895"
Pays de la Loire,2 023,"0,285","0,2571"
Picardie,2 012,"0,164","0,2224"
Picardie,2 013,"0,067","0,2650"
Picardie,2 014,"0,092","0,2857"
Picardie,2 015,"0,057","0,3028"
Picardie,2 016,"0,083","0,3035"
Picardie,2 017,"0,206","0,3095"
Picardie,2 018,"0,545","0,3150"
Picardie,2 019,"0,538","0,3222"
Picardie,2 020,"0,250","0,3352"
Picardie,2 021,"0,189","0,3420"
Picardie,2 022,"0,240","0,3918"
Picardie,2 023,"0,271","0,4040"
Poitou-Charentes,2 012,"0,290","0,1897"
Poitou-Charentes,2 013,"0,266","0,1988"
Poitou-Charentes,2 014,"0,290","0,2190"
Poitou-Charentes,2 015,"0,259","0,2356"
Poitou-Charentes,2 016,"0,258","0,2429"
Poitou-Charentes,2 017,"0,275","0,2475"
Poitou-Charentes,2 018,"0,198","0,2549"
Poitou-Charentes,2 019,"0,265","0,2656"
Poitou-Charentes,2 020,"0,233","0,2581"
Poitou-Charentes,2 021,"0,198","0,2615"
Poitou-Charentes,2 022,"0,414","0,2236"
Poitou-Charentes,2 023,"0,250","0,2397"
Provence-Alpes-Côte d'Azur,2 012,"0,421","0,2692"
Provence-Alpes-Côte d'Azur,2 013,"0,464","0,2924"
Provence-Alpes-Côte d'Azur,2 014,"0,428","0,3168"
Provence-Alpes-Côte d'Azur,2 015,"0,440","0,3390"
Provence-Alpes-Côte d'Azur,2 016,"0,478","0,3527"
Provence-Alpes-Côte d'Azur,2 017,"0,478","0,3623"
Provence-Alpes-Côte d'Azur,2 018,"0,476","0,3841"
Provence-Alpes-Côte d'Azur,2 019,"0,407","0,4008"
Provence-Alpes-Côte d'Azur,2 020,"0,404","0,3939"
Provence-Alpes-Côte d'Azur,2 021,"0,371","0,4213"
Provence-Alpes-Côte d'Azur,2 022,"0,418","0,4195"
Provence-Alpes-Côte d'Azur,2 023,"0,409","0,4147"
Rhône-Alpes,2 012,"0,345","0,2120"
Rhône-Alpes,2 013,"0,326","0,2346"
Rhône-Alpes,2 014,"0,310","0,2578"
Rhône-Alpes,2 015,"0,290","0,2781"
Rhône-Alpes,2 016,"0,241","0,2937"
Rhône-Alpes,2 017,"0,233","0,3033"
Rhône-Alpes,2 018,"0,276","0,3180"
Rhône-Alpes,2 019,"0,336","0,3319"
Rhône-Alpes,2 020,"0,273","0,3375"
Rhône-Alpes,2 021,"0,258","0,3532"
Rhône-Alpes,2 022,"0,274","0,3721"
Rhône-Alpes,2 023,"0,252","0,3850"
