Club,Année,Droits audiovisuels,Sponsors - Publicité,Recettes matches,Autres produits,Rémunération personnel,Autres charges
Chamois Niortais FC,2015,5186,1370,744,1682,5817,3220
US Orléans,2015,4458,1498,292,1058,4295,3075
Red Star FC,2015,4506,973,232,1027,4553,3549
Stade de Reims,2015,9123,3442,2063,2475,13453,8988
FC Sochaux-Montbéliard,2015,5957,3401,2054,2976,11730,8504
RC Strasbourg Alsace,2015,5872,4803,3193,3081,8393,6970
Tours FC,2015,5079,1294,703,987,5851,3619
ESTAC Troyes,2015,8917,2282,962,1555,10063,5690
Valenciennes FC,2015,4918,2960,647,1264,6739,5061
FC Girondins de Bordeaux,2016,33044,12973,9911,11720,50472,31589
Stade Malherbe Caen,2016,20705,5259,4755,4343,27212,12012
Dijon Football Côte-d’Or,2016,5810,3289,1014,1830,8901,4411
En Avant de Guingamp,2016,17313,5118,3696,1915,21680,12025
LOSC Lille,2016,36132,10498,8091,2602,49547,31479
FC Lorient,2016,19375,4385,2568,2236,21510,10981
Olympique Lyonnais,2016,0,0,0,0,0,0
Olympique de Marseille,2016,48929,28854,15841,17137,92571,45824
FC Metz,2016,7784,3336,2676,3065,14480,10358
AS Monaco,2016,45023,15060,3564,13571,82480,27058
Montpellier Hérault SC,2016,23614,6184,2166,8191,31628,15042
AS Nancy Lorraine,2016,5475,3333,1453,2943,9969,7898
FC Nantes,2016,17537,8028,7991,1013,22213,16367
OGC Nice,2016,25044,7935,4362,6500,31677,16006
Paris Saint-Germain,2016,123982,149905,43375,225155,292394,145327
Stade Rennais FC,2016,27119,10815,4795,3908,44004,13058
AS Saint-Étienne,2016,40659,9382,7849,9022,48251,19814
Toulouse FC,2016,18359,5733,2888,2707,25463,11267
AC Ajaccio,2016,5505,916,478,1540,6206,4438
Gazelec FC Ajaccio,2016,10314,1321,1104,687,7648,3946
Amiens SC,2016,5560,1540,1610,1461,6332,3507
AJ Auxerre,2016,4987,1854,446,1040,8065,5590
Stade Brestois 29,2016,4329,4309,664,1519,8284,4729
Clermont Foot 63,2016,4434,1479,605,1094,5404,2366
Stade Lavallois Mayenne FC,2016,4826,1904,913,808,5845,3078
Havre AC,2016,5421,2437,826,2559,10324,6662
RC Lens,2016,7958,2470,3632,3117,15293,15183
Nîmes Olympique,2016,4594,856,964,995,55420,3003
Chamois Niortais FC,2016,4477,1514,580,2154,5624,4039
US Orléans,2016,4558,1508,302,1068,4395,3175
Red Star FC,2016,4458,1260,92,902,5461,1625
Stade de Reims,2016,14861,5733,4281,2715,19184,8276
FC Sochaux-Montbéliard,2016,6101,3501,1825,2509,12770,8868
RC Strasbourg Alsace,2016,5972,4813,3203,3091,8493,7070
Tours FC,2016,4792,1820,726,455,5315,3573
ESTAC Troyes,2016,13682,3061,2218,1926,13809,7123
Valenciennes FC,2016,5501,2693,711,1354,7568,5343
Bourg en Bresse ,2016,3491,620,319,950,3279,2313
US Créteil-Lusitanos,2016,4092,1258,144,2249,5532,1848
Paris FC,2016,4055,4467,188,1564,7185,4287
Paris Saint-Germain,2018,127864,141841,48370,239263,332063,149694
AS Monaco,2018,93809,17746,2709,9326,132810,30059
Olympique Lyonnais,2018,41800,21000,18700,12600,120000,45000
Olympique de Marseille,2018,77489,28750,21913,14815,125121,56295
OGC Nice,2018,50384,13182,6085,9408,61389,24728
Stade Rennais,2018,32640,10743,6153,4424,50259,1110
Montpellier HSC,2018,27668,6903,2251,6452,34908,15604
Dijon FCO,2018,21906,7082,2162,1963,23296,10324
Angers SCO,2018,21597,5120,3025,1846,21199,10558
Amiens SC,2018,20613,3453,3654,1617,15136,9014
RC Strasbourg,2018,20512,6251,3120,1800,21123,10520
SM Caen,2018,21619,6044,4903,4066,26872,12770
Stade de Reims,2018,12123,6500,2900,2200,18700,8800
Nîmes Olympique,2018,13500,4200,2000,1500,15000,6200
Quevilly-Rouen Métropole,2018,4433,1797,331,1024,4350,2270
AC Ajaccio,2018,5658,1340,573,1547,7043,6192
Paris FC,2018,4782,1139,322,1085,4552,2690
Clermont Foot,2018,5370,1542,271,1402,5820,3065
US Orléans,2018,4782,1139,322,1085,4552,2690
FC Lorient,2018,12751,3037,1188,1845,16211,8670
Toulouse FC,2018,21997,5750,3717,6183,30463,13365
FC Metz,2018,17720,5062,4894,1865,22899,22406
Guingamp,2018,23314,5839,3648,2290,25419,13656
Chamois Niortais,2018,5006,1502,540,1573,6398,3063
Gazélec Ajaccio,2018,5665,1067,383,680,5504,4246
Valenciennes FC,2018,5311,2208,798,445,7922,5533
LB Châteauroux,2018,4985,1225,484,1512,6865,2622
RC Lens,2018,5921,3733,3348,2457,17535,16304
FC Nantes,2018,26065,9124,7670,3595,37660,18247
Girondins de Bordeaux,2018,37370,6452,14403,8414,59564,30192
AS Saint-Étienne,2018,40339,9977,5575,7545,46335,21159
Lille OSC,2018,27702,11289,8806,6118,68266,62240
ES Troyes AC,2018,17133,3352,2281,1726,15763,6983
Havre AC,2018,6061,2470,967,3682,12539,9554
FC Sochaux-Montbéliard,2018,5621,2367,1961,1305,11415,8035
AJ Auxerre,2018,5419,2152,478,1125,13509,6860
Bourg-en-Bresse Péronnas,2018,4797,1012,549,1305,4708,2646
Stade Brestois 29,2018,5264,6541,1068,2270,10531,6294
AS Nancy Lorraine,2018,8795,3216,1390,3253,13960,8044
Tours FC,2018,5381,1362,571,853,5963,4062
AC Ajaccio,2017,5046,1050,537,1145,7036,4954
AJ Auxerre,2017,5382,2453,482,1361,14248,7466
AS Béziers,2017,4036,591,91,1850,3629,2780
AS Monaco,2017,31682,6790,2475,10131,39493,17588
AS Saint-Étienne,2017,26023,11286,8072,3286,28629,15971
Amiens SC,2017,21597,3978,4434,2422,17459,11907
Angers SCO,2017,23656,5066,2808,3123,28275,12614
Berrichonne de Châteauroux,2017,5408,1233,432,1521,6521,2785
Chamois Niortais,2017,5220,3000,808,1165,11725,7200
Clermont Foot 63,2017,5382,1518,220,955,5278,2956
Dijon Football Côte-d'Or,2017,26337,6498,3842,2447,27408,13594
En Avant de Guingamp,2017,39919,10547,9973,3796,71979,57680
FC Girondins de Bordeaux,2017,23449,5844,4517,2395,28248,13801
FC Lorient,2017,6894,3001,1017,1500,15244,8284
FC Nantes,2017,34221,10656,3678,5841,46071,23304
Gazélec FC Ajaccio,2017,4475,639,365,692,5008,3137
Grenoble Foot 38,2017,4800,1610,903,1063,4973,3989
Havre AC,2017,6356,2536,737,2721,14838,9826
LOSC,2017,43878,14391,13712,5537,60471,47961
Montpellier Hérault SC,2017,27502,9676,7838,6080,41780,27140
Nîmes Olympique,2017,26395,5349,4950,4749,27529,14665
OGC Nice,2017,24577,1474,4261,1952,20899,5671
Olympique Lyonnais,2017,75649,18221,2716,15061,147128,38383
Olympique de Marseille,2017,59818,37272,19741,12743,127210,59621
Orléans Loiret,2017,5920,2935,1245,1430,13250,7945
Paris FC,2017,6274,3202,1154,1385,13028,7645
Paris Saint-Germain,2017,156632,195022,50464,256559,370921,184818
