ville,code_commune,departement,region,sport,club,fin_saison,division,classement,score_classement,capacite,taux_remplissage,score_event,nb_crea_entreprise,taux_chomage,salaire_median,class,coeff_division,score_sportif,salaire_median_norm,taux_chomage_norm,nb_crea_entreprise_norm,score_economique
Marseille,13055,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,football,Marseille,2022,1,2,2,67394,0.81,0.25,22888,,,0.95,1.0,1.048,,,0.2514677749191899,
Marseille,13055,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,football,Marseille,2023,1,3,3,67394,0.93,0.13,19191,,,0.9,1.0,1.052,,,0.21082085449787805,
Caen,14118,Calvados,Basse-Normandie,football,SM Caen,2022,2,7,27,20500,0.49,0.0,1911,,,0.7,0.5,0.627,,,0.020834707654418718,
Caen,14118,Calvados,Basse-Normandie,football,SM Caen,2023,2,5,25,20500,0.68,0.0,1981,,,0.8,0.5,0.724,,,0.021604327462233657,
Dijon,21231,Côte-d'Or,Bourgogne,football,Dijon,2022,2,11,31,16098,0.4,0.0,2459,,,0.5,0.5,0.52,,,0.026859731292741384,
Dijon,21231,Côte-d'Or,Bourgogne,football,Dijon,2023,2,18,38,16098,0.47,0.0,2406,,,0.15,0.5,0.401,,,0.026277019152538647,
Guingamp,22070,Côtes d'Armor,Bretagne,football,EA Guingamp,2022,2,6,26,18462,0.43,0.0,91,,,0.75,0.5,0.629,,,0.0008245926512302922,
Guingamp,22070,Côtes d'Armor,Bretagne,football,EA Guingamp,2023,2,6,26,18462,0.48,0.0,95,,,0.75,0.5,0.6440000000000001,,,0.0008685709259625745,
Sochaux,25547,Doubs,Franche-Comté,football,FC Sochaux,2022,2,5,25,20005,0.46,0.0,62,,,0.8,0.5,0.6580000000000001,,,0.0005057501594212459,
Sochaux,25547,Doubs,Franche-Comté,football,FC Sochaux,2023,2,9,29,20005,0.6,0.0,45,,,0.6,0.5,0.62,,,0.00031884249180904635,
Brest,29019,Finistère,Bretagne,football,Stade Brestois,2022,1,11,11,15220,0.77,0.0,1674,,,0.5,1.0,0.831,,,0.018228994876530992,
Brest,29019,Finistère,Bretagne,football,Stade Brestois,2023,1,14,14,15220,0.83,0.0,1653,,,0.35,1.0,0.7889999999999999,,,0.01799810893418651,
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2022,2,2,22,10446,0.33,0.0,1080,,,0.95,0.5,0.679,,,0.01169822107878708,
Ajaccio,2A004,Corse-du-Sud,Corse,football,AC Ajaccio,2023,1,18,18,10446,0.72,0.0,1060,,,0.15,1.0,0.676,,,0.011478329705125669,
Bastia,2B033,Haute-Corse,Corse,football,SC Bastia,2022,2,12,32,16480,0.45,0.0,562,,,0.45,0.5,0.5150000000000001,,,0.006003034500956527,
Bastia,2B033,Haute-Corse,Corse,football,SC Bastia,2023,2,4,24,16480,0.61,0.0,573,,,0.85,0.5,0.7230000000000001,,,0.006123974756470304,
